Unnamed: 0.1.1,link,total_claps,total_responses,total_claps_scaled,total_responses_scaled,score
1131,https://uxplanet.org/16-quotes-you-need-to-read-as-ux-designer-e47f982e312c,4200,9,0.06850520756931201,0.013293943870014771,0.04642070208959311
566,https://writingcooperative.com/life-as-a-clap-addict-and-how-to-beat-it-bf050d6ea87e,2900,33,0.044667742408684166,0.04874446085672083,0.04629842978789883
574,https://medium.com/@austincoleschafer/81-staggering-lines-in-literature-ad51ffa4d782,2400,42,0.03549948657767346,0.0620384047267356,0.04611505383729832
339,https://medium.com/splatterme/imitation-will-make-you-more-original-53c3281eab2c,3300,25,0.05200234707349274,0.036927621861152136,0.045972456988556495
1082,https://medium.com/swlh/your-subconscious-knows-what-you-need-9dd40ba82cb7,3500,21,0.05566964940589701,0.0310192023633678,0.04580947058888532
200,https://medium.com/better-marketing/you-dont-need-authority-you-just-have-to-care-48824bb3edd0,3600,19,0.05750330057209915,0.02806499261447563,0.04572797738904975
578,https://medium.muz.li/weekly-inspiration-for-designers-146-f12574fb2c8a,4400,4,0.0721725099017163,0.005908419497784343,0.04566687374014351
179,https://medium.muz.li/ui-interactions-of-the-week-121-9560bfd26b6f,4500,2,0.07400616106791844,0.0029542097488921715,0.04558538054030793
1280,https://medium.com/the-write-brain/a-guide-to-medium-curation-7d5be2dd97db,3800,15,0.06117060290450345,0.022156573116691287,0.04556499098937858
623,https://medium.com/liberationist-thoughts/this-question-will-help-you-win-in-your-life-686ec6b85419,4000,11,0.06483790523690773,0.016248153618906944,0.04540200458970742
135,https://medium.com/@alltopstartups/how-to-build-routines-that-conserve-brainpower-for-high-level-thinking-82a0d3238f16,4100,9,0.06667155640310987,0.013293943870014771,0.04532051138987183
1377,https://medium.com/better-marketing/is-it-still-possible-for-new-writers-to-make-money-on-medium-fd2d9f6e154f,2800,33,0.042834091242482025,0.04874446085672083,0.04519823908817755
962,https://medium.com/mind-cafe/most-people-are-too-impatient-for-longterm-success-9805808a1ad7,3600,18,0.05750330057209915,0.026587887740029542,0.045137135439271316
86,https://medium.com/publishous/why-medium-is-the-best-place-for-writers-who-want-to-get-noticed-500e975d87a4,2900,31,0.044667742408684166,0.04579025110782866,0.04511674588834196
895,https://medium.com/publishous/5-things-you-need-to-do-to-create-a-quality-blog-post-495383e5bcd2,3700,16,0.059336951738301315,0.02363367799113737,0.04505564223943573
495,https://medium.com/annapoetics/let-me-consume-a-rainbow-345ec6b6bd16,3000,29,0.046501393574886314,0.04283604135893649,0.04503525268850638
569,https://medium.com/the-post-grad-survival-guide/sorry-traveling-isnt-going-to-make-you-a-better-person-e0e3c5b201f0,2500,38,0.0373331377438756,0.05612998522895126,0.04485187673790587
5,https://blog.insightdatascience.com/generating-custom-photo-realistic-faces-using-ai-d170b1b59255,4000,10,0.06483790523690773,0.01477104874446086,0.04481116263992898
162,https://medium.com/swlh/how-our-110-employees-stay-productive-motivated-and-happy-e4242c58c8e8,4000,10,0.06483790523690773,0.01477104874446086,0.04481116263992898
375,https://medium.com/swlh/more-success-by-doing-less-the-art-of-delegation-cd085817217b,4200,6,0.06850520756931201,0.008862629246676516,0.04464817624025781
532,https://medium.muz.li/ui-interactions-of-the-week-117-2f87d64c82ea,4300,4,0.07033885873551415,0.005908419497784343,0.04456668304042223
907,https://medium.com/annapoetics/i-fell-like-alice-1b50ce8b29cf,3600,17,0.05750330057209915,0.025110782865583457,0.044546293489492884
487,https://medium.com/taking-note/the-science-of-aha-moments-dfd7960c40d8,3700,15,0.059336951738301315,0.022156573116691287,0.0444648002896573
1873,https://medium.com/better-marketing/how-to-write-a-quality-blog-post-every-single-day-85838c8fd361,3700,15,0.059336951738301315,0.022156573116691287,0.0444648002896573
454,https://medium.com/the-write-purpose/these-10-strategies-will-springboard-your-writing-success-on-medium-5b823c1901b5,2300,41,0.03366583541147132,0.06056129985228952,0.0444240211877986
683,https://medium.com/ironkeel/overcoming-stress-by-lucid-dreaming-45d7df9ef365,4500,0,0.07400616106791844,0.0,0.04440369664075106
615,https://medium.com/swlh/mediums-top-10-most-followed-and-active-publications-3cebb3e2da69,3800,13,0.06117060290450345,0.019202363367799114,0.044383307089821716
884,https://byrslf.co/how-i-traveled-the-world-started-2-companies-and-a-charity-wrote-a-book-and-still-managed-to-accde6fdd4f8,3100,26,0.048335044741088455,0.03840472673559823,0.04436291753889236
1565,https://medium.com/swlh/why-i-always-write-a-zero-draft-94f27fa89e18,3100,26,0.048335044741088455,0.03840472673559823,0.04436291753889236
257,https://medium.com/swlh/7-unusual-but-effective-ways-to-work-smarter-not-harder-77e3d7bc0dde,3200,24,0.0501686959072906,0.035450516986706065,0.04428142433905678
257,https://medium.com/better-marketing/5-harsh-truths-about-building-your-writing-career-other-gurus-wont-tell-you-f5c577003af0,3200,24,0.0501686959072906,0.035450516986706065,0.04428142433905678
1,https://medium.com/@JessicaLexicus/your-intelligence-might-be-hiding-from-you-77a334e7a762,3300,22,0.05200234707349274,0.03249630723781389,0.0441999311392212
528,https://medium.com/swlh/the-top-5-who-can-change-your-company-201c32f05f0c,4100,7,0.06667155640310987,0.0103397341211226,0.04413882749031496
811,https://medium.com/annapoetics/edit-me-3e81ed49b25e,3400,20,0.05383599823969488,0.02954209748892172,0.04411843793938562
1217,https://writingcooperative.com/you-will-get-published-b573cc1a20e0,3400,20,0.05383599823969488,0.02954209748892172,0.04411843793938562
1268,https://medium.com/liberationist-thoughts/do-you-suffer-from-illusions-of-moral-superiority-ed72c8aa80e2,3400,20,0.05383599823969488,0.02954209748892172,0.04411843793938562
540,https://medium.com/the-mission/the-consistency-theory-the-single-biggest-thing-you-can-do-for-your-career-show-up-and-do-the-e56d64b35177,3500,18,0.05566964940589701,0.026587887740029542,0.04403694473955002
200,https://medium.com/honestly-yours/writing-for-money-isnt-what-you-think-54d664d0304d,2800,31,0.042834091242482025,0.04579025110782866,0.044016555188620674
918,https://medium.com/swlh/try-this-sprint-approach-to-work-if-you-want-to-do-more-in-less-time-fd15fd634b22,3600,16,0.05750330057209915,0.02363367799113737,0.04395545153971444
1311,https://writingcooperative.com/why-im-scared-to-write-8d067743243a,2200,42,0.03183218424526918,0.0620384047267356,0.04391467243785575
9,https://medium.muz.li/ui-interactions-of-the-week-110-119e45b3df54,4400,1,0.0721725099017163,0.0014771048744460858,0.043894347890808205
61,https://medium.com/jane-austens-wastebasket/where-my-ideas-for-stories-really-come-from-1672808d9b75,3200,23,0.0501686959072906,0.033973412112259974,0.04369058238927835
832,https://medium.com/taking-note/can-music-make-you-a-productivity-powerhouse-9161721fced6,3300,21,0.05200234707349274,0.0310192023633678,0.043609089189442764
